B005SN5J28,Hanes Men's 5-Pack Comfortsoft V-Neck Tee,   $30.56 ,https://m.media-amazon.com/images/I/71HEF0mgjpL._AC_SX679_.jpg,
B078L9XPC2,"Champion Men's T-Shirt, Classic Graphic T-Shirt, Soft and Comfortable T-Shirts for Men, Script Logo (Reg. or Big & Tall)",   $13.59 ,https://m.media-amazon.com/images/I/515FsvUTrAL._AC_SX679_.jpg,
B0CYC8XHTH,AUTOMET Womens Tops Summer Basic T Shirts Business Casual Loose Fit Cap Sleeve Tee Cute Clothes Trendy Fashion Outfits,   $14.99  ,https://m.media-amazon.com/images/I/71w37pvtncL._AC_SY741_.jpg,
B079HG6Z1S,Amazon Essentials Women's Classic-Fit Long-Sleeve Crewneck T-Shirt (Available in Plus Size),   $16.10  ,https://m.media-amazon.com/images/I/81mjnLT-BeL._AC_SX679_.jpg,
B07WWQ2X1P,Nautica Men's Short Sleeve Solid Crew Neck T-Shirt,   $24.99  ,https://m.media-amazon.com/images/I/71A-czu4m1L._AC_SX679_.jpg,
B08PKBDHWR,Carhartt Men's Loose Fit Heavyweight Short-Sleeve Pocket T-Shirt,,https://m.media-amazon.com/images/I/61ZS64JYWUL._AC_SX679_.jpg,
B0BPYCHYP9,Trendy Queen Womens Fashion Workout T Shirts Athletic Plus Size Tops Summer Trendy Clothes 2024 Short Sleeve Spring Tee,   $14.99  ,https://m.media-amazon.com/images/I/61TPDhFmZ1L._AC_SY741_.jpg,
B07TFRQWGV,Calvin Klein Men's Cotton Classic 5-Pack Slim Undershirts,   $40.00 ,https://m.media-amazon.com/images/I/61drVUDyljL._AC_SX679_.jpg,
B0C94V5CT8,"Fruit of the Loom Men's Eversoft Cotton Long Sleeve T Shirts, Breathable & Moisture Wicking with Odor Control",   $10.69 ,https://m.media-amazon.com/images/I/71MmdUSEFZL._AC_SY741_.jpg,
B0793FPC5M,"Amazon Essentials Women's Tech Stretch Short-Sleeve Crewneck T-Shirt (Available in Plus Size), Multipacks",   $17.10 ,https://m.media-amazon.com/images/I/91o0W7jGonL._AC_SX569_.jpg,
B07XR2TTFQ,"Amazon Essentials Women's Slim-Fit Short-Sleeve Crewneck T-Shirt, Pack of 2",   $14.50 ,https://m.media-amazon.com/images/I/71oq9OaNZ4L._AC_SY741_.jpg,
B00VTV9NFM,Fruit of the Loom Boys' Cotton White T Shirt,   $12.59  ,https://m.media-amazon.com/images/I/51MnHNpgyfL._AC_SY741_.jpg,
B09T3SFNRZ,"Fruit of the Loom Men's Eversoft Cotton T-Shirts, Breathable & Moisture Wicking with Odor Control, Sizes S-4X",   $14.27  ,https://m.media-amazon.com/images/I/71CtspAOaEL._AC_SY741_.jpg,
B00URENVUK,"DAVID ARCHY Men's Undershirt Bamboo Rayon Moisture-Wicking T-Shirts Stretch Crewneck/V-Neck Tees for Men, 3 or 5 Pack",   $39.99 ,https://m.media-amazon.com/images/I/61UB1leEbZL._AC_SY741_.jpg,
B094669VBC,Real Essentials 3 Pack: Men’s Big & Tall Tech Stretch Long-Sleeve & Short-Sleeve Dry-Fit T-Shirt (3XT-5XT),   $32.99  ,https://m.media-amazon.com/images/I/91Klz9MlGJL._AC_SX679_.jpg,
B01EKB6I00,Hanes Men’s Short Sleeve Graphic T-shirt Collection,   $9.95  ,https://m.media-amazon.com/images/I/81QaUk6YldL._AC_SX569_.jpg,
B07M987YPG,"Comfort Colors Adult Heavyweight Short Sleeve Tee, Style G1717/G1745",   $11.71  ,https://m.media-amazon.com/images/I/615tBBcQLEL._AC_SX679_.jpg,
B072R6TM6M,Brooks Brothers Men's Short Sleeve Cotton Crew Neck Logo T-Shirt,   $19.97 ,https://m.media-amazon.com/images/I/81S-MQjyy3L._AC_SX569_.jpg,
B07682FRBZ,"Gildan Unisex Adult Dryblend T-Shirt, Style G8000, Multipack",   $11.63 ,https://m.media-amazon.com/images/I/61E8ci-FoEL._AC_SX679_.jpg,
B079B6FN8V,Gildan Blank T-Shirt - Unisex Style 5000 Adult,   $6.99 ,https://m.media-amazon.com/images/I/51ifhEVuyvL._AC_SY741_.jpg,
